"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2001-01-01,5904
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2002-01-01,5808
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2003-01-01,5400
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2004-01-01,5300
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2005-01-01,5400
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2006-01-01,5300
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2007-01-01,5650
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2008-01-01,5700
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2009-01-01,5800
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2010-01-01,5900
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2011-01-01,5900
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2012-01-01,5900
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2013-01-01,5900
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2014-01-01,6800
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2015-01-01,7045
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2016-01-01,7045
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2017-01-01,7390
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2018-01-01,7250
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2019-01-01,7333
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18084","ITUZAINGO",2020-01-01,7986
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18147","SAN MARTIN",2018-01-01,0
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18147","SAN MARTIN",2019-01-01,0
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18147","SAN MARTIN",2020-01-01,0
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1970-01-01,1661
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1971-01-01,1954
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1972-01-01,2600
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1973-01-01,3239
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1974-01-01,3333
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1975-01-01,3651
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1976-01-01,4840
17,"Yerba mate",249,"Yerba mate","Área Cosechada","ha","MAGYP","Anual","Nacional","DEPARTAMENTO","18168","SANTO TOME",1977-01-01,4188
